luas_tanah;luas_bangunan;jml_kamar;umur;jarak;harga;;;;
4.321.505.347.223.800;13.110.602.498.933.700;1;25.520.407.818.145.300;14.944.202.163.035.500;200.00.00;;;;
3.459.258.015.351.540;38.181.951.803.265.100;4;29.457.170.942.296.100;7.584.616.436.514.400;4.199.404.884.941.090;;;;
3.057.388.715.009.620;8.589.141.995.893.300;4;18.839.801.478.122.900;8.746.599.642.639.270;200.00.00;;;;
9.215.364.552.264.160;18.996.387.638.576.200;1;74.253.021.942.123.500;3.385.745.994.107.770;200.00.00;;;;
2.154.721.113.767.450;37.913.789.046.201.100;3;48.844.514.903.059.100;4.254.604.198.611.730;4.125.691.691.031.100;;;;
16.934.106.545.677.600;18.529.910.726.266.500;4;5.607.433.218.253.840;16.719.774.541.696.700;200.00.00;;;;
15.979.533.952.058.700;26.625.460.063.571.100;2;0.5938697504176316;1.211.193.400.208.870;27.199.517.419.312.900;;;;
48.785.474.963.860.000;1.771.099.272.462.330;1;11.720.463.329.578.100;741.311.685.179.256;5.470.829.377.471.980;;;;
22.689.397.610.004.200;1.314.596.248.690.070;5;5.742.830.414.986.270;16.254.172.970.915.300;2.836.132.212.246.470;;;;
451.420.949.829.701;39.407.172.974.513.600;3;12.349.663.813.701.000;5.683.878.207.121.670;8.916.473.535.149.210;;;;
3.340.123.816.987.680;18.145.358.233.656.500;1;28.049.832.955.162.900;19.544.621.273.403.800;200.00.00;;;;
40.766.508.659.374.100;36.081.670.536.127.900;5;12.916.206.285.215.600;75.515.345.471.772.200;7.300.618.673.144.210;;;;
27.618.669.189.733.600;1.150.832.041.797.010;5;26.339.534.909.545.000;7.408.908.128.873.320;200.00.00;;;;
3.096.067.480.818.610;10.884.874.048.928.000;4;18.165.142.998.476.200;6.926.326.205.197.390;2.847.806.194.892.950;;;;
27.163.296.221.848.800;41.519.610.667.269.200;4;74.139.466.398.417.500;33.201.188.025.614.700;35.719.619.605.361.600;;;;
13.785.934.450.912.000;2.711.167.253.890.770;4;10.675.642.777.776.300;31.116.057.993.082.300;3.642.304.683.625.010;;;;
3.751.034.518.676.770;1.663.547.471.777.910;1;25.175.860.746.428.800;13.313.995.656.148.300;363.498.260.046.497;;;;
1.763.475.630.983.850;3.498.125.524.406.650;1;10.003.877.807.880.300;17.627.242.846.602.800;200.00.00;;;;
60.942.184.894.154.200;20.508.766.547.587.600;3;20.326.228.365.106.000;16.019.889.695.161.700;200.00.00;;;;
34.046.253.315.822.500;38.823.156.832.844.700;4;21.633.327.878.830.500;36.810.442.864.056.700;9.376.565.873.811.450;;;;
129.699.805.733.172;9.864.444.081.015.480;5;616.204.225.434.088;11.366.060.314.049.200;21.959.580.698.242.000;;;;
47.320.636.295.881.100;351.390.572.143.576;2;11.443.231.242.399.300;300.623.937.355.616;6.844.880.942.229.880;;;;
4.792.678.596.511.640;3.173.408.355.329.440;3;29.461.486.110.478.800;18.605.982.286.484.700;6.938.752.675.026.450;;;;
46.168.897.559.920.100;31.524.108.251.829.900;1;23.545.854.688.766.400;13.471.331.328.310.500;3.989.956.568.718.610;;;;
21.657.141.511.494.900;3.425.697.944.032.480;3;22.004.602.394.763.100;11.167.894.339.926.600;23.709.326.385.472.200;;;;
5.695.547.743.799.030;3.115.788.766.489.090;3;34.857.286.957.633.700;2.558.450.019.017.940;4.220.255.361.363.930;;;;
46.774.335.316.447.600;26.170.151.900.362.300;3;23.429.876.808.449.700;16.638.456.817.137.800;48.198.415.412.701.100;;;;
24.268.286.674.279.100;785.606.047.424.834;3;23.558.064.345.480.400;1.980.537.185.477.730;200.00.00;;;;
4.849.946.685.696.510;4.203.468.641.176.320;2;18.033.080.868.729.800;15.704.053.108.323.600;48.729.502.146.828.000;;;;
4.836.289.896.901.630;37.071.370.369.180.400;4;29.710.853.459.951.100;9.446.036.807.953.030;47.691.119.021.935.600;;;;
433.854.254.960.312;2.581.606.163.726.730;5;9.757.617.177.736.550;10.587.761.467.546.200;4.541.344.459.757.770;;;;
18.250.200.143.131.300;32.471.879.766.118.500;3;28.238.173.447.255.500;3.228.322.808.208.450;200.00.00;;;;
22.329.397.787.086.600;20.816.327.005.964.300;3;2.744.193.344.869.510;4.212.173.790.354.600;200.00.00;;;;
4.330.115.021.825.850;7.340.402.991.608.590;3;0.34441979248133525;7.684.295.121.796.690;5.176.104.741.666.970;;;;
19.261.490.232.032.400;7.631.874.311.494.360;4;13.503.495.794.244.300;1.547.184.164.805.950;200.00.00;;;;
12.627.173.600.874.100;2.836.591.562.747.190;1;293.131.269.915.472;10.634.566.057.145.000;21.235.881.179.046.100;;;;
30.056.056.810.625.700;1.892.131.811.128.010;1;30.936.408.722.422.700;1.312.013.561.650.620;2.615.034.086.642.190;;;;
4.712.696.483.723.510;10.419.414.887.912.400;2;16.433.540.831.499.500;1.971.831.654.672.280;200.00.00;;;;
36.321.340.850.373.700;21.188.998.229.433.100;1;29.368.725.211.233.100;15.592.103.270.950.900;200.00.00;;;;
30.652.752.654.021.400;5.375.730.671.779.960;3;16.664.862.723.175.800;9.252.868.464.683.130;200.00.00;;;;
9.372.942.219.684.580;24.532.941.870.832.700;3;5.694.459.089.164.670;9.482.396.514.134.420;43.833.484.429.763.800;;;;
32.675.325.201.462.600;12.952.755.964.098.600;3;17.465.496.902.777.600;12.756.669.463.779.000;200.00.00;;;;
4.955.242.325.469.180;32.509.686.723.575.900;2;6.133.217.218.486.400;13.641.938.959.959.100;6.791.419.494.802.000;;;;
11.303.780.685.643.500;14.483.392.480.172.200;3;15.591.127.886.834.500;10.513.507.590.896.700;200.00.00;;;;
28.324.834.356.368.100;19.843.145.516.026.600;1;22.212.665.373.704.300;13.252.363.233.484.600;4.861.459.478.807.530;;;;
44.481.788.236.757.900;34.299.599.765.997.200;4;18.164.480.076.432.100;14.471.173.938.678.700;200.00.00;;;;
383.345.877.989.392;5.680.534.848.398.670;4;15.503.698.173.844.700;9.162.834.414.040.030;200.00.00;;;;
3.636.570.834.478.700;1.752.226.158.704.730;5;22.204.841.062.843.800;6.299.823.445.396.050;40.721.966.885.101.400;;;;
36.611.783.779.419.900;20.757.736.884.533.500;1;1.892.101.413.476.350;34.543.144.596.190.900;6.130.025.977.475.580;;;;
21.177.101.804.888.900;25.200.760.280.414.200;3;164.881.880.559.227;28.913.837.433.667.200;33.679.083.513.827;;;;
182.116.329.919.022;1.379.151.541.224.420;4;20.693.365.477.443.600;12.460.651.146.678.600;200.00.00;;;;
4.142.125.199.653.310;2.871.432.978.668.200;1;4.318.257.407.166.920;10.948.410.395.899.600;6.800.661.078.761.500;;;;
41.455.102.760.563.100;34.824.528.696.000.500;4;17.860.789.837.758.100;5.818.098.222.931.010;6.930.418.759.851.450;;;;
44.018.254.336.104.600;3.185.448.658.905.390;3;5.163.318.084.683.330;9.948.051.116.677.770;8.547.738.403.615.030;;;;
4.609.582.486.504.120;4.465.896.537.889.210;4;27.765.666.235.556.400;10.352.413.988.465.700;200.00.00;;;;
28.010.407.948.742.200;2.077.875.704.853.960;5;2.050.023.145.368.120;47.051.706.283.337.000;7.299.481.337.189.270;;;;
27.568.233.260.923.900;6.882.416.601.472.470;5;12.911.242.490.723.700;13.389.768.175.751.300;200.00.00;;;;
40.923.283.053.504.800;11.955.665.586.913.500;4;20.873.924.329.663.300;15.837.467.771.335.700;200.00.00;;;;
3.424.837.688.499.940;3.950.651.595.088.440;1;13.740.666.350.047.700;1.603.780.727.690.080;50.339.111.942.870.900;;;;
3.658.850.947.659.660;827.233.508.735.599;1;2.762.857.596.987.070;12.446.926.783.365.600;2.415.087.594.315.220;;;;
40.810.670.124.624.500;21.458.861.677.700.100;1;16.601.370.483.801.200;10.721.133.067.861.200;4.677.949.751.481.260;;;;
45.050.240.381.790.400;2.587.176.216.977.040;4;19.248.957.264.820.600;21.591.357.171.025.000;32.196.821.167.488.200;;;;
20.209.782.058.319.100;28.991.203.910.131.800;1;2.111.376.932.971.520;6.468.794.678.180.510;2.724.680.026.444.170;;;;
21.901.232.868.797.400;2.370.700.128.901.580;3;11.197.794.433.882.700;27.721.574.887.852.200;592.045.922.598.049;;;;
9.229.187.292.839.100;3.361.521.354.509.790;5;16.909.799.130.862.800;19.312.640.056.691;200.00.00;;;;
3.102.260.634.482.780;15.079.068.405.027.600;3;13.520.594.248.167.300;35.665.227.782.894.500;200.00.00;;;;
6.617.402.320.853.390;22.155.330.805.234.300;1;20.161.681.162.567.600;3.883.732.787.170.930;2.478.218.786.992.760;;;;
2.595.191.081.596.070;6.251.060.468.358.830;3;17.506.709.019.744.500;17.901.955.748.279.300;200.00.00;;;;
2.941.900.856.184.090;15.973.196.454.739.600;1;15.772.686.586.774.000;189.346.373.860.527;200.00.00;;;;
17.894.356.345.772.700;4.228.515.025.280.560;4;7.485.731.005.147.450;15.550.751.745.463.200;200.00.00;;;;
31.587.496.725.605.400;5.907.404.394.735.760;3;0.0605555324470175;11.026.935.497.807.200;3.707.149.979.691.640;;;;
6.372.511.247.257.220;17.686.161.219.459.000;4;5.222.450.259.342.870;10.255.791.481.747.100;34.844.171.700.114.400;;;;
6.680.668.493.714.640;7.910.482.899.593.230;4;35.119.812.427.250.500;8.183.914.625.961.560;200.00.00;;;;
42.017.025.229.684.600;2.399.901.138.567.760;2;13.472.542.350.328.400;3.724.512.030.206.950;3.598.418.598.629.020;;;;
2.120.857.886.350.680;2.851.020.385.807.880;1;1.836.774.452.285.530;13.493.367.008.803.400;25.391.358.191.531.400;;;;
10.717.723.069.334.800;32.621.707.867.036.000;5;6.392.550.260.544.240;9.817.267.098.685.580;2.899.219.458.849.290;;;;
28.500.946.702.466.100;10.405.559.037.057.900;1;28.171.712.879.015.600;1.891.817.605.073.240;200.00.00;;;;
39.649.709.889.437.400;9.196.855.543.585.580;5;0.20046387671663335;7.152.571.923.146.190;5.303.330.456.615.810;;;;
14.711.946.237.357.900;686.901.009.237.281;1;23.169.030.454.960.200;13.561.672.890.145.200;200.00.00;;;;
3.303.007.141.185.500;26.547.919.233.114.500;4;18.756.143.085.913.200;13.392.471.709.516.300;37.185.560.092.825.400;;;;
884.063.592.471.956;29.139.601.880.015.300;3;11.206.644.031.430.400;5.770.521.969.638.180;5.759.017.189.748.520;;;;
7.325.677.452.587.340;41.686.873.585.487.500;3;15.146.683.323.722.300;13.358.079.727.653.400;200.00.00;;;;
2.891.095.842.056.660;3.763.985.311.101.650;2;1.882.459.715.352.830;5.034.345.511.450.930;6.326.043.344.865.930;;;;
2.932.858.047.245.470;4.922.937.495.104.470;5;11.568.405.385.969.400;33.181.408.579.608.900;21.913.032.273.699.900;;;;
33.684.345.567.419.200;23.027.964.406.139.600;5;28.088.014.182.396.500;14.326.282.425.634.100;36.142.717.842.539.700;;;;
3.767.411.001.751.970;29.235.239.219.683.900;5;16.259.702.246.692.900;3.155.375.524.974.410;5.534.606.593.896.410;;;;
4.891.334.357.581.400;35.225.857.578.605.100;4;28.189.545.338.805.200;1.994.127.515.319.770;4.596.003.356.397.480;;;;
2.823.351.567.355.370;2.942.121.648.889.980;5;66.145.108.041.991.200;44.855.956.218.543.500;41.495.741.515.200.400;;;;
1.953.304.128.235.600;326.639.390.735.823;3;217.717.773.109.231;12.288.695.392.372.600;2.837.933.053.384.000;;;;
40.783.378.764.591.600;15.559.657.124.083.800;4;1.851.747.062.546.170;8.816.116.856.839.190;200.00.00;;;;
17.187.451.306.793.300;33.148.529.208.620.900;1;22.182.246.894.939.300;3.401.342.025.707.670;45.516.988.867.774.400;;;;
24.753.713.931.753.600;596.424.931.623.298;5;6.440.035.919.176.100;15.290.342.439.708.500;4.669.430.790.956.170;;;;
8.530.537.160.401.960;3.610.821.627.423.950;5;1.994.983.548.713.320;12.831.913.363.563.800;20.794.692.155.212.300;;;;
6.140.783.453.695.580;2.326.091.791.768.820;1;14.941.211.791.706.000;16.328.393.711.993.300;2.782.899.243.535.420;;;;
4.831.917.866.050.660;33.240.017.488.612.200;5;22.284.749.247.189.400;16.998.297.568.628.100;456.456.822.616.549;;;;
4.261.910.542.304.920;19.735.776.527.177.100;1;9.811.339.324.554.530;10.171.555.988.461.700;200.00.00;;;;
36.318.839.274.216.400;2.681.237.472.227.140;4;2.670.171.076.395.750;15.771.653.876.465.300;200.00.00;;;;
23.402.882.498.642.100;22.476.898.454.636.100;3;25.290.394.383.405.100;1.378.409.553.628.230;200.00.00;;;;
1.279.824.440.318.800;3.006.881.230.494.720;1;2.421.567.956.373.560;1.476.083.602.248.350;200.00.00;;;;
12.039.666.920.198.800;60.203.093.351.318.100;2;25.839.588.774.452.700;10.359.381.099.214.400;200.00.00;;;;
16.260.930.417.406.700;5.233.027.107.650.860;1;24.517.569.341.004.600;13.034.823.064.600.400;200.00.00;;;;
2.971.519.991.177.540;12.142.819.658.375.400;5;1.538.179.182.785.320;16.304.992.357.945.000;200.00.00;;;;
37.156.816.521.502.800;890.315.316.418.797;4;13.151.549.400.922.800;8.559.799.335.583.430;2.920.193.374.170.820;;;;
34.708.881.952.297.900;35.255.991.963.911.400;4;29.887.868.595.746.300;1.631.359.911.648.400;31.083.681.800.598.700;;;;
17.597.025.362.567.400;1.111.091.753.224.760;1;68.751.585.364.248.600;12.248.320.012.992.100;200.00.00;;;;
47.968.937.629.843.700;39.107.014.465.307.800;3;1.640.627.897.628.130;4.152.119.463.044.930;7.138.419.023.670.440;;;;
38.205.361.251.309.500;15.465.144.295.530.900;2;20.120.265.761.469.700;14.689.989.872.671.000;200.00.00;;;;
2.994.593.236.301.300;9.738.362.880.481.870;4;2.102.602.907.584.290;7.892.318.407.583.880;200.00.00;;;;
3.252.743.358.054.580;3.221.884.476.427.170;5;6.120.739.972.157.360;11.387.230.237.630.400;6.658.343.413.561.430;;;;
23.882.002.809.250.500;2.737.218.769.353.240;5;19.619.822.770.194.000;16.956.586.691.866.200;2.175.637.891.229.990;;;;
16.147.894.527.552.000;21.433.241.508.766.100;3;2.455.108.699.444.010;34.222.279.226.646.700;24.971.833.617.211.300;;;;
21.018.770.539.306.700;23.548.451.384.692.300;4;15.005.573.046.333.600;16.203.920.605.988.000;23.878.139.470.354.900;;;;
3.910.307.497.089.660;2.961.046.579.607.370;1;27.345.638.799.759.400;17.397.171.875.277.300;34.329.832.935.424.800;;;;
5.647.706.988.339.010;11.452.825.429.258.000;5;0.885121654356178;3.863.062.253.015.840;200.00.00;;;;
10.223.268.822.811.200;3.986.435.489.409.940;3;1.067.913.097.465.180;1.718.029.206.678.010;3.294.455.315.663.000;;;;
7.070.118.890.978.870;39.067.346.999.430.900;4;0.47439588698886204;1.983.761.778.901.300;5.642.120.778.629.560;;;;
6.832.796.104.353.650;2.706.205.039.483.660;4;2.314.355.056.187.450;14.809.937.789.916.500;4.886.941.974.477.600;;;;
43.495.726.280.495.300;1.038.307.068.437.830;4;27.335.048.555.402.300;1.591.062.395.467.470;200.00.00;;;;
36.664.603.672.101.000;2.816.844.496.995.770;4;10.645.824.922.384.400;19.893.890.083.618.500;200.00.00;;;;
26.337.822.308.929.600;5.671.341.132.229.500;4;12.743.145.912.751.500;12.504.143.759.992.900;2.912.632.714.286.920;;;;
9.402.537.229.295.060;41.341.425.816.148.200;5;6.460.331.441.476.570;68.498.412.583.087.300;200.00.00;;;;
2.712.271.438.025.740;12.534.266.874.914.900;3;17.912.873.105.601.500;16.913.085.847.445.000;200.00.00;;;;
2.630.622.968.512.540;20.117.049.399.354.700;4;1.784.409.644.033.360;12.675.229.772.720.900;200.00.00;;;;
12.794.084.145.950.600;3.512.608.270.011.000;2;11.166.011.754.756.500;12.042.713.050.698.100;200.00.00;;;;
24.523.324.215.708.700;29.905.255.581.353.300;2;9.991.046.154.161.950;5.819.075.554.766.720;5.358.740.016.572.470;;;;
22.932.713.047.881.800;304.801.412.843.993;3;26.548.929.245.417.600;15.370.351.122.074.800;26.574.855.705.811.600;;;;
3.271.325.441.234.970;18.743.253.374.578.700;1;11.498.527.189.266.000;2.551.678.241.341.820;40.933.982.703.542.300;;;;
3.357.921.428.904.390;15.799.594.724.237.600;1;14.805.029.764.632.200;18.561.454.345.098.500;200.00.00;;;;
7.038.680.439.742.000;167.284.342.304.303;1;849.914.287.274.792;719.064.575.463.921;200.00.00;;;;
21.857.567.658.191.200;3.954.303.385.823.410;2;2.360.308.510.071.380;34.277.184.030.098.100;23.995.708.198.828.200;;;;
33.163.696.207.140.600;4.484.040.082.261.850;1;11.923.444.706.972.700;9.404.964.128.945.950;200.00.00;;;;
27.641.131.636.103.900;35.080.165.356.530.500;5;15.408.331.396.329.700;18.069.282.758.741.200;4.917.087.289.876.120;;;;
43.542.042.853.474.500;24.410.990.117.178.500;4;7.600.715.101.789.840;1.400.789.769.103.430;24.498.209.950.882.400;;;;
34.641.213.422.852.500;19.228.770.510.014.800;2;29.629.787.770.237.500;18.151.404.698.461.700;200.00.00;;;;
12.332.049.218.664.300;2.983.453.343.536.000;3;8.744.872.227.711.680;16.907.997.135.631.600;200.00.00;;;;
8.175.593.633.019.340;21.006.750.832.714.000;3;2.312.227.592.716.650;34.200.199.955.097.400;28.034.030.835.581.700;;;;
339.088.675.192.842;3.531.665.980.902.140;4;12.824.869.510.702.700;33.991.516.050.469.000;7.313.114.974.130.640;;;;
61.930.089.743.729.800;36.325.968.968.416.500;2;6.186.522.152.524.190;16.455.255.164.161.000;2.972.540.527.099.240;;;;
3.135.990.115.730.580;1.860.367.429.431.780;1;23.991.562.918.945.800;18.560.831.217.459.200;24.899.819.268.365.400;;;;
4.731.036.086.412.300;1.324.262.849.769.690;1;10.008.203.670.871.200;9.752.726.766.836.290;200.00.00;;;;
30.896.338.004.414.500;249.169.621.579.544;5;2.595.580.042.193.430;10.480.451.221.361.500;43.153.148.523.862.100;;;;
22.467.646.679.293.400;3.675.744.378.781.750;5;2.745.771.554.753.460;7.046.978.786.328.790;37.568.213.804.990.900;;;;
33.947.969.829.905.800;10.794.500.993.209.600;1;25.794.715.061.738.200;17.991.037.246.871.800;2.958.414.380.234.930;;;;
25.621.380.072.118.200;26.049.763.591.848.800;3;10.502.374.442.041.600;13.253.155.200.554.700;3.604.056.256.514.610;;;;
2.955.275.551.921.700;2.636.772.814.342.320;3;23.621.200.350.153.100;6.476.779.966.180.000;2.504.524.364.109.390;;;;
47.365.916.394.943.600;30.125.181.829.365.300;5;12.340.183.994.974.300;6.676.874.550.030.780;7.680.954.205.523.010;;;;
22.374.618.701.034.800;7.868.004.349.708.610;4;26.211.687.605.466.700;17.932.801.388.208.400;200.00.00;;;;
4.825.357.537.207.610;29.485.523.693.237.200;1;19.138.627.880.542.100;1.259.046.454.210.600;48.295.514.121.500.500;;;;
4.574.077.888.802.280;3.663.420.326.462.870;5;25.009.294.024.318.700;7.131.804.881.806.120;4.996.050.143.283.780;;;;
1.381.060.106.551.830;9.648.275.028.198.950;5;1.498.295.309.600.500;11.532.776.943.111.000;275.104.433.951.726;;;;
8.121.258.539.382.440;11.789.103.022.183.400;1;16.050.765.137.967.900;38.161.317.798.871.600;200.00.00;;;;
95.350.100.619.842;38.941.618.479.540.600;1;4.331.628.964.010.010;2.749.876.329.792.200;545.031.063.600.016;;;;
5.819.982.154.319.730;9.696.147.250.251.120;3;23.519.620.760.680.600;1.649.025.029.072.060;200.00.00;;;;
9.249.933.234.016.770;34.612.248.454.674.400;4;12.581.688.350.009.100;1.799.368.338.432.160;39.606.299.484.761.000;;;;
35.735.304.803.736.000;21.214.280.688.577.200;4;15.002.403.548.147.400;16.648.521.995.165.600;200.00.00;;;;
8.203.489.180.710.300;1.214.754.975.291.750;1;2.355.293.142.287.120;18.076.969.905.009.600;200.00.00;;;;
1.935.390.336.321.920;3.521.774.634.708.290;2;1.796.536.200.238.310;11.509.127.450.109.000;2.504.972.398.369.220;;;;
43.019.388.993.625.400;19.476.294.435.098.600;5;6.032.961.823.280.020;16.432.904.298.816.400;20.999.487.251.517.200;;;;
60.472.371.081.121.600;22.048.242.095.398.500;5;17.706.979.774.526.700;8.296.810.129.430.900;24.924.614.323.467.800;;;;
4.165.108.171.650.210;1.629.163.466.779.130;1;12.228.985.739.389.600;13.659.089.368.101.700;25.260.022.280.184.100;;;;
17.683.464.864.802.900;24.939.181.503.092.300;2;14.085.766.261.315.800;19.787.875.096.394.100;2.922.319.205.203.690;;;;
10.317.417.242.974.500;9.050.383.285.645.840;3;0.8493382320800336;5.288.826.752.943.420;200.00.00;;;;
3.635.317.244.138.670;17.470.016.856.115.100;1;6.300.880.485.488.440;840.809.517.953.053;520.040.178.322.563;;;;
3.330.242.810.509.470;3.886.825.592.640.560;1;8.431.142.441.430.840;10.120.900.168.891.600;7.410.820.876.102.270;;;;
44.486.240.608.717.300;1.255.093.700.994.170;5;21.388.800.235.764.100;3.622.294.253.380.980;4.080.160.410.456.330;;;;
3.807.819.697.117.480;2.729.925.658.802.780;1;0.3447741989434594;2.539.733.598.836.070;3.232.540.454.880.420;;;;
4.115.664.186.731.810;15.032.032.376.313.700;1;12.263.317.836.873.900;16.764.734.460.110.800;200.00.00;;;;
1.769.155.576.570.870;3.161.850.565.040.420;1;27.720.806.112.771.900;19.559.093.083.724.100;26.751.284.469.576.400;;;;
12.984.779.470.087.500;7.842.325.446.578.940;5;3.356.418.496.473.710;8.689.776.212.763.510;2.309.077.556.473.340;;;;
3.877.766.382.383.860;3.888.337.866.790.610;3;15.492.731.646.558.300;2.665.346.887.698.410;8.211.640.734.278.460;;;;
4.130.756.326.702.680;19.790.213.031.194.600;3;2.359.567.147.172.540;22.504.234.531.209.500;3.950.959.215.779.260;;;;
495.727.313.900.303;11.733.867.143.819.100;1;282.759.392.256.035;17.935.045.920.845.600;200.00.00;;;;
2.356.779.546.101.410;5.719.379.651.210.460;5;2.240.329.918.601.150;981.247.074.482.592;200.00.00;;;;
21.740.813.860.675.200;9.281.042.488.239.000;3;21.616.966.459.332.100;7.080.519.014.685.440;200.00.00;;;;
3.993.858.323.338.980;22.231.636.096.572.600;3;2.479.464.270.587.280;1.005.276.415.354.850;4.616.977.574.452.070;;;;
20.336.159.311.385.800;15.469.117.527.957.500;3;13.386.036.629.326.300;7.047.777.799.154.590;200.00.00;;;;
46.884.079.652.160.400;3.366.868.453.765.650;5;24.175.335.978.534.900;1.029.167.973.084.470;5.485.167.432.743.840;;;;
4.362.857.383.293.550;1.894.283.837.548.680;5;0.23893214236353377;173.315.715.414.408;4.355.339.398.710.580;;;;
24.304.731.231.875.800;12.202.428.085.742.300;1;27.736.831.661.304.100;12.253.726.050.179.800;200.00.00;;;;
3.878.919.805.061.730;2.583.436.450.434.910;4;1.329.919.528.551.520;14.198.421.683.393.300;33.841.119.675.207.000;;;;
3.895.442.933.381.070;291.507.570.247.615;3;16.601.405.635.972.400;7.928.742.848.452.390;6.370.948.219.849.090;;;;
9.640.574.097.616.960;9.180.550.592.335.140;4;7.646.467.467.446.460;15.031.611.691.699.800;200.00.00;;;;
456.148.808.005.805;9.201.911.002.667.750;5;22.275.924.985.212.600;13.665.724.612.708.000;200.00.00;;;;
2.773.635.676.015.350;435.684.279.654.109;5;22.990.741.942.574.600;32.716.779.572.890.700;42.106.825.794.801.900;;;;
42.190.585.974.848.300;30.246.874.557.428.600;5;2.617.907.407.640.500;11.880.214.209.196.100;5.939.115.807.109.160;;;;
1.940.223.204.637.750;2.756.076.752.200.670;4;24.843.504.870.190.200;5.878.126.429.885.400;200.00.00;;;;
4.529.854.528.232.900;20.561.342.402.743.100;5;6.481.803.487.342.990;1.627.781.772.303.820;5.329.790.398.815.600;;;;
2.251.407.554.303.730;34.234.306.611.860.200;1;2.427.973.194.855.780;909.281.646.087.185;542.950.223.991.549;;;;
5.487.694.316.613.420;3.280.979.565.915.190;5;23.590.731.991.844.400;19.898.999.138.733.200;200.00.00;;;;
45.742.188.938.866.800;24.658.111.482.679.800;2;1.896.649.793.261.840;2.757.508.320.840.310;6.906.521.000.582.790;;;;
910.790.045.537.601;3.512.603.737.899.050;4;11.205.605.306.990.600;15.826.609.392.063.000;21.608.167.893.661.600;;;;
19.369.113.691.568.600;10.616.124.771.360.400;2;8.144.962.625.456.030;13.800.332.937.300.900;200.00.00;;;;
4.775.278.851.728.620;714.102.591.771.593;5;6.953.507.708.680.500;15.582.477.781.223.400;2.898.651.346.082.390;;;;
47.777.321.612.190.000;12.980.735.626.128.600;1;9.558.268.882.908.210;684.306.611.431.867;32.554.520.873.524.400;;;;
30.804.704.965.547.800;5.112.213.675.304.640;3;2.710.675.330.297.590;10.349.035.298.265.600;200.00.00;;;;
33.432.674.547.640.900;22.653.272.536.038.100;5;2.329.223.279.663.430;1.613.366.187.475.040;200.00.00;;;;
2.518.004.848.902.430;37.654.410.614.913.500;1;2.486.613.828.758.870;5.418.285.300.796.240;33.672.018.775.757.600;;;;
18.194.484.726.412.900;4.455.711.004.734.850;4;10.466.702.251.254.700;529.463.073.898.439;33.728.864.993.351.100;;;;
19.789.904.541.646.200;7.518.066.818.370.990;2;15.647.981.880.340.700;11.469.968.112.603.700;200.00.00;;;;
35.263.330.523.466.700;19.731.364.046.487.100;2;2.383.456.900.945.470;1.094.770.801.106.720;200.00.00;;;;
388.568.538.246.956;37.553.375.648.532.400;2;2.653.129.641.068.910;6.362.986.937.845.720;5.130.036.686.907.100;;;;
40.621.056.967.663.100;1.469.777.588.413.970;4;1.034.344.260.217.940;6.663.437.359.971.630;4.485.122.744.351.050;;;;
40.532.816.425.754.900;2.176.768.792.147.050;1;1.385.530.443.825.330;6.279.058.100.924.740;46.154.288.191.735.200;;;;
9.104.274.637.191.060;4.538.195.784.864.500;4;12.435.481.944.503.700;15.658.729.177.971.200;200.00.00;;;;
27.248.913.711.616.100;8.488.698.435.597.280;2;0.3975310051173164;13.386.116.445.686.700;200.00.00;;;;
7.590.144.200.748.990;39.505.314.549.477.300;5;8.878.286.665.759.690;168.159.264.847.948;311.320.290.767.202;;;;
297.287.997.045.681;38.709.391.768.133.600;3;13.775.677.011.976.800;19.533.987.537.966.400;20.629.905.422.602.100;;;;
24.868.872.561.801.900;3.182.779.294.573.150;4;12.332.808.266.413.100;10.009.121.629.167.700;200.00.00;;;;
4.494.668.822.412.340;3.821.703.606.065.980;4;2.165.787.682.547.030;2.267.183.746.703.520;8.452.152.654.673.010;;;;
20.791.175.564.843.500;26.647.437.699.173.500;1;11.544.108.516.633.000;19.137.538.978.286.700;4.673.726.354.284.600;;;;
10.268.015.739.242.200;35.112.976.897.240.800;1;14.681.293.469.120.100;6.617.635.746.160.760;200.00.00;;;;
11.434.625.692.377.600;19.825.374.658.452.700;4;128.882.577.639.709;18.718.347.197.696.500;200.00.00;;;;
3.926.797.842.728.620;22.077.053.057.432.200;2;22.218.784.466.831.100;10.941.048.044.446.600;200.00.00;;;;
3.281.981.284.923.170;21.087.323.469.506.000;3;25.889.171.969.608.800;6.163.943.805.522.450;4.811.785.297.223.030;;;;
9.550.520.425.525.560;2.767.397.752.920.580;1;15.956.672.370.225.400;858.416.909.570.937;21.167.916.933.655.200;;;;
8.784.806.275.174.880;8.167.096.425.983.570;2;23.682.965.825.855.700;12.373.307.040.688.700;200.00.00;;;;
365.436.109.156.604;4.109.022.825.289.080;5;8.903.600.460.595.510;13.406.043.504.619.000;2.069.791.270.167.080;;;;
8.274.335.286.388.700;14.393.407.838.874.000;1;16.241.088.304.718.000;39.244.706.858.751.900;200.00.00;;;;
4.198.370.266.806.600;2.907.318.822.125.590;2;10.356.898.610.099.100;19.563.601.854.358.300;6.030.524.356.750.040;;;;
3.678.090.022.204.230;1.046.857.772.854.900;2;1.242.602.776.715.490;11.350.672.312.672.900;33.941.852.829.588.300;;;;
866.069.512.888.549;2.791.700.003.302.190;3;21.972.415.944.380.000;3.578.078.038.053.300;25.113.821.747.006.600;;;;
